"visit_id","cfb_plot_num","round","day","time_visit","type_plot","observer","Coal Tit","Crested Tit","Goldcrest","European Robin","Common Chaffinch","Eurasian Blackbird","Eurasian Wren","Mistle Thrush","Common Chiffchaff","Song Thrush","Great Tit","Eurasian Jay","Fieldfare","Green Woodpecker","Carrion Crow","Blue Tit","Eurasian Blackcap","Eurasian Treecreeper","Firecrest","Great Spotted Woodpecker","Goldfinch","Eurasian Nuthatch","Eurasian Bullfinch","Common Buzzard","Wood Pigeon","Greenfinch","Red Crossbill","Short-toed Treecreeper","Common Redstart","Common Raven","Long-tailed Tit","Eurasian Siskin","Dunnock","Eurasian Skylark","Willow Warbler","Black Redstart","Yellowhammer","Rook","Spotted Flycatcher","Hawfinch","Eurasian Magpie","Marsh Tit","Hooded Crow","Garden Warbler","Black Woodpecker","Willow Tit"
"20230429074800.050","50",1,2023-04-29,2023-04-29 07:48:00,"forest","Raphael-Mariela",1,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230429082900.050","50",1,2023-04-29,2023-04-29 08:29:00,"road","Raphael-Mariela",2,0,2,2,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230429091200.050","50",1,2023-04-29,2023-04-29 09:12:00,"edge","Raphael-Mariela",2,0,1,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230502064500.188","188",1,2023-05-02,2023-05-02 06:45:00,"forest","David",3,0,3,1,3,1,1,1,0,2,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230502065800.188","188",1,2023-05-02,2023-05-02 06:58:00,"edge","Raphael-Mariela",1,1,1,1,3,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230502072000.188","188",1,2023-05-02,2023-05-02 07:20:00,"path","David",2,1,2,1,3,1,1,1,1,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230502074100.188","188",1,2023-05-02,2023-05-02 07:41:00,"road","Raphael-Mariela",2,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230502084000.069","69",1,2023-05-02,2023-05-02 08:40:00,"forest","David",3,2,2,1,3,2,1,2,0,1,2,2,0,0,0,0,1,0,1,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230502084300.069","69",1,2023-05-02,2023-05-02 08:43:00,"edge","Raphael-Mariela",0,0,1,1,1,1,1,0,2,0,1,1,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"20230502091500.069","69",1,2023-05-02,2023-05-02 09:15:00,"road","David",2,0,0,1,3,2,0,1,2,1,0,3,0,0,0,1,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230502093200.069","69",1,2023-05-02,2023-05-02 09:32:00,"path","Raphael-Mariela",3,0,1,1,2,0,2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230504063400.038","38",1,2023-05-04,2023-05-04 06:34:00,"path","Raphael",2,0,3,2,2,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230504063500.038","38",1,2023-05-04,2023-05-04 06:35:00,"forest","David",0,0,2,0,3,0,1,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230504071000.038","38",1,2023-05-04,2023-05-04 07:10:00,"edge","David",3,0,1,1,1,1,2,1,2,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"20230504071500.038","38",1,2023-05-04,2023-05-04 07:15:00,"road","Raphael",2,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230504083000.098","98",2,2023-05-04,2023-05-04 08:30:00,"path","David",2,0,2,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230504083400.098","98",2,2023-05-04,2023-05-04 08:34:00,"forest","Raphael",2,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230504090000.098","98",2,2023-05-04,2023-05-04 09:00:00,"road","David",3,0,1,2,2,1,1,1,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"20230504090900.098","98",2,2023-05-04,2023-05-04 09:09:00,"edge","Raphael",2,0,2,1,3,1,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230506071400.122","122",2,2023-05-06,2023-05-06 07:14:00,"edge","Mariela",0,0,0,2,1,2,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"20230506072200.122","122",2,2023-05-06,2023-05-06 07:22:00,"road","Raphael",3,0,0,0,2,2,2,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230506075800.122","122",2,2023-05-06,2023-05-06 07:58:00,"path","Mariela",2,0,1,2,1,3,2,1,2,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"20230506082300.122","122",2,2023-05-06,2023-05-06 08:23:00,"forest","Raphael",1,0,0,1,2,1,0,2,2,0,0,0,0,0,0,1,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230509065700.089","89",1,2023-05-09,2023-05-09 06:57:00,"path","Raphael",2,0,3,1,3,2,2,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230509070300.089","89",1,2023-05-09,2023-05-09 07:03:00,"edge","Mariela",2,0,1,1,1,2,1,0,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230509073500.089","89",1,2023-05-09,2023-05-09 07:35:00,"forest","Raphael",2,0,3,1,3,2,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230509074700.089","89",1,2023-05-09,2023-05-09 07:47:00,"road","Mariela",1,0,0,1,1,2,2,0,2,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"20230509110100.044","44",1,2023-05-09,2023-05-09 11:01:00,"road","Raphael",1,0,2,2,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230509112300.044","44",1,2023-05-09,2023-05-09 11:23:00,"path","Mariela",1,0,0,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230509114500.044","44",1,2023-05-09,2023-05-09 11:45:00,"edge","Raphael",2,0,1,0,2,0,1,1,1,1,1,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"20230509120200.044","44",1,2023-05-09,2023-05-09 12:02:00,"forest","Mariela",0,0,0,2,2,1,1,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230511063200.045","45",1,2023-05-11,2023-05-11 06:32:00,"edge","Mariela",1,0,0,2,1,3,0,2,1,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"20230511064300.045","45",1,2023-05-11,2023-05-11 06:43:00,"forest","Raphael",1,0,2,2,2,2,1,1,1,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230511071800.045","45",1,2023-05-11,2023-05-11 07:18:00,"road","Raphael",2,0,1,1,3,1,1,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"20230511072300.045","45",1,2023-05-11,2023-05-11 07:23:00,"path","Mariela",1,0,1,2,2,3,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230511093500.171","171",2,2023-05-11,2023-05-11 09:35:00,"edge","Raphael",1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230511094000.171","171",2,2023-05-11,2023-05-11 09:40:00,"forest","Mariela",0,1,1,2,2,3,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230511101400.171","171",2,2023-05-11,2023-05-11 10:14:00,"path","Raphael",2,0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230511102200.171","171",2,2023-05-11,2023-05-11 10:22:00,"road","Mariela",1,0,0,2,2,2,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"20230512073300.038","38",2,2023-05-12,2023-05-12 07:33:00,"road","Raphael",2,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"20230512073400.038","38",2,2023-05-12,2023-05-12 07:34:00,"path","Mariela",1,1,1,2,1,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"20230512081000.038","38",2,2023-05-12,2023-05-12 08:10:00,"edge","Raphael",1,1,2,1,2,2,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230512081400.038","38",2,2023-05-12,2023-05-12 08:14:00,"forest","Mariela",1,1,2,2,1,1,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230512094100.050","50",2,2023-05-12,2023-05-12 09:41:00,"forest","Mariela",2,1,1,2,2,2,2,1,2,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230512094400.050","50",2,2023-05-12,2023-05-12 09:44:00,"path","Raphael",2,1,2,1,4,2,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230512102100.050","50",2,2023-05-12,2023-05-12 10:21:00,"road","Mariela",1,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"20230512102200.050","50",2,2023-05-12,2023-05-12 10:22:00,"edge","Raphael",1,0,1,0,3,1,1,1,2,1,3,0,0,0,3,2,1,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230515074400.069","69",2,2023-05-15,2023-05-15 07:44:00,"path","Raphael",1,1,2,1,2,1,2,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230515075100.069","69",2,2023-05-15,2023-05-15 07:51:00,"edge","Mariela",0,0,0,2,2,3,0,1,2,1,2,0,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"20230515082200.069","69",2,2023-05-15,2023-05-15 08:22:00,"road","Raphael",2,0,0,2,2,1,1,1,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230515085500.069","69",2,2023-05-15,2023-05-15 08:55:00,"forest","Mariela",0,0,0,2,2,2,2,0,2,0,2,0,0,0,0,0,2,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"20230515094400.188","188",2,2023-05-15,2023-05-15 09:44:00,"road","Mariela",1,0,0,2,2,2,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"20230515095000.188","188",2,2023-05-15,2023-05-15 09:50:00,"path","Raphael",3,1,2,1,1,1,0,1,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230515102800.188","188",2,2023-05-15,2023-05-15 10:28:00,"forest","Raphael",1,1,3,2,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230515102900.188","188",2,2023-05-15,2023-05-15 10:29:00,"edge","Mariela",1,0,0,3,2,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230516062100.044","44",2,2023-05-16,2023-05-16 06:21:00,"edge","Raphael",0,0,1,0,1,2,1,1,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"20230516062200.044","44",2,2023-05-16,2023-05-16 06:22:00,"forest","Mariela",2,0,0,2,3,3,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"20230516071400.044","44",2,2023-05-16,2023-05-16 07:14:00,"road","Mariela",2,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230516072800.044","44",2,2023-05-16,2023-05-16 07:28:00,"path","Raphael",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230517070200.089","89",2,2023-05-17,2023-05-17 07:02:00,"path","Mariela",1,0,2,2,2,2,1,0,1,2,0,1,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230517070300.089","89",2,2023-05-17,2023-05-17 07:03:00,"road","Raphael",2,1,1,1,1,2,2,0,2,0,2,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"20230517074100.089","89",2,2023-05-17,2023-05-17 07:41:00,"edge","Raphael",1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
"20230517075000.089","89",2,2023-05-17,2023-05-17 07:50:00,"forest","Mariela",1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230523064300.045","45",2,2023-05-23,2023-05-23 06:43:00,"road","Mariela",0,0,1,2,2,1,0,0,2,1,0,0,0,0,1,1,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230523070100.045","45",2,2023-05-23,2023-05-23 07:01:00,"edge","Raphael",0,0,0,1,3,1,1,1,1,0,1,0,0,0,1,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"20230523072800.045","45",2,2023-05-23,2023-05-23 07:28:00,"forest","Mariela",1,0,0,2,2,2,2,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"20230523073900.045","45",2,2023-05-23,2023-05-23 07:39:00,"path","Raphael",2,0,0,2,2,2,1,0,1,2,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
