english name;scientific name;rarety in CFB
Eurasian Wryneck;Jynx torquilla;Rare (not every year, or only on 1-2 plots each year)
Eurasian Three-toed Woodpecker;Picoides tridactylus;Rare (not every year, or only on 1-2 plots each year)
Lesser Spotted Woodpecker;Dryobates minor;Rare (not every year, or only on 1-2 plots each year)
Eurasian Golden Oriole;Oriolus oriolus;Rare (not every year, or only on 1-2 plots each year)
Willow Tit;Poecile montanus;Rare (not every year, or only on 1-2 plots each year)
Woodlark;Lullula arborea;Rare (not every year, or only on 1-2 plots each year)
Western Bonelli's Warbler;Phylloscopus bonelli;Rare (not every year, or only on 1-2 plots each year)
Willow Warbler;Phylloscopus trochilus;Rare (not every year, or only on 1-2 plots each year)
Garden Warbler;Sylvia borin;Rare (not every year, or only on 1-2 plots each year)
Lesser Whitethroat;Sylvia curruca;Rare (not every year, or only on 1-2 plots each year)
Common Whitehroat;Sylvia communis;Rare (not every year, or only on 1-2 plots each year)
Ring Ouzel;Turdus torquatus;Rare (not every year, or only on 1-2 plots each year)
Redwing;Turdus iliacus;Rare (not every year, or only on 1-2 plots each year)
Spotted Flycatcher;Muscicapa striata;Rare (not every year, or only on 1-2 plots each year)
European Pied Flycatcher;Ficedula hypoleuca;Rare (not every year, or only on 1-2 plots each year)
Whinchat;Saxicola rubetra;Rare (not every year, or only on 1-2 plots each year)
Common Redstart;Phoenicurus phoenicurus;Rare (not every year, or only on 1-2 plots each year)
Tree Pipit;Anthus trivialis;Rare (not every year, or only on 1-2 plots each year)
Water Pipit;Anthus spinoletta;Rare (not every year, or only on 1-2 plots each year)
Brambling;Fringilla montifringilla;Rare (not every year, or only on 1-2 plots each year)
Linnet;Linaria cannabina;Rare (not every year, or only on 1-2 plots each year)
Citril Finch;Carduelis citrinella;Rare (not every year, or only on 1-2 plots each year)
Egyptian Goose;Alopochen aegyptiaca;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Grey Heron;Ardea cinerea;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Great Cormorant;Phalacrocorax carbo;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Red Kite;Milvus milvus;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Black Kite;Milvus migrans;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Eurasian Kestrel;Falco tinnunculus;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Common Swift;Apus apus;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Red-backed Shrike;Lanius collurio;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Eurasian Magpie;Pica pica;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Rook;Corvus frugilegus;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Barn Swallow;Hirundo rustica;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
House Martin;Delichon urbicum;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
European Starling;Sturnus vulgaris;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
White Wagtail;Motacilla alba;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Grey Wagtail;Motacilla cinerea;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
House Sparrow;Passer domesticus;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Greenfinch;Chloris chloris;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Goldfinch;Carduelis carduelis;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Yellowhammer;Emberiza citrinella;Rare or uncommon on ConFoBi plots but common in other surrounding habitats
Black Redstart;Phoenicurus ochruros;Other
Mallard;Anas platyrhynchos;Other
Eurasian Skylark;Alauda arvensis;Other
Hooded Crow;Corvus cornix;Other
